Timestamp,Temperature,EnergyConsumption,HourOfDay,DayOfWeek
2022-01-01 00:00:00,20.993428306022466,89.99566363535324,0,5
2022-01-01 01:00:00,21.80856816378321,87.60834513964207,1,5
2022-01-01 02:00:00,25.324465856045002,86.76630422850741,2,5
2022-01-01 03:00:00,28.746547055155894,102.00083458634607,3,5
2022-01-01 04:00:00,26.518073794378775,97.2415920790115,4,5
2022-01-01 05:00:00,27.3318541075984,86.01770011882203,5,5
2022-01-01 06:00:00,31.24569098599852,107.28207540810743,6,5
2022-01-01 07:00:00,29.364085182800636,93.70773385243955,7,5
2022-01-01 08:00:00,26.105607116419577,73.72564860242348,8,5
2022-01-01 09:00:00,26.872870292377755,75.80597716890182,9,5
2022-01-01 10:00:00,23.2186035908909,72.58693463439361,10,5
2022-01-01 11:00:00,21.29907454333649,65.62983223610021,11,5
2022-01-01 12:00:00,20.658448607504905,62.90699707335148,12,5
2022-01-01 13:00:00,14.291953219765151,80.68018809795763,13,5
2022-01-01 14:00:00,12.753772010452874,89.43439347805443,14,5
2022-01-01 15:00:00,13.43671954237129,86.29411862734827,15,5
2022-01-01 16:00:00,11.27882409279621,89.9129655691332,16,5
2022-01-01 17:00:00,13.148317839782393,106.86719590312252,17,5
2022-01-01 18:00:00,10.445721332036308,112.23531788562047,18,5
2022-01-01 19:00:00,9.724294614523204,120.49372704420648,19,5
2022-01-01 20:00:00,16.293941494998716,96.87848862686776,20,5
2022-01-01 21:00:00,14.196978281632774,103.62577594464078,21,5
2022-01-01 22:00:00,16.45497884012997,101.22552693810341,22,5
2022-01-01 23:00:00,15.41441031939955,99.00009208868848,23,5
2022-01-02 00:00:00,19.260229517974643,107.61560768373498,0,6
2022-01-02 01:00:00,22.655927683379897,84.67120688156623,1,6
2022-01-02 02:00:00,22.076077395399302,82.98328320533835,2,6
2022-01-02 03:00:00,26.80084844377441,95.31181716142416,3,6
2022-01-02 04:00:00,26.134056784873856,98.91753474406576,4,6
2022-01-02 05:00:00,27.565681960763104,93.18387616321367,5,6
2022-01-02 06:00:00,27.232780649194567,82.02308165049534,6,6
2022-01-02 07:00:00,31.88268695387622,106.92153017783286,7,6
2022-01-02 08:00:00,27.36646190277711,84.76781827487744,8,6
2022-01-02 09:00:00,24.021213676794012,71.53653089459799,9,6
2022-01-02 10:00:00,26.139398257727233,75.58054845814962,10,6
2022-01-02 11:00:00,20.137699597047146,76.55433919356578,11,6
2022-01-02 12:00:00,20.941086752438952,73.15543069688869,12,6
2022-01-02 13:00:00,14.547990872996168,77.53479814755,13,6
2022-01-02 14:00:00,13.896034165087631,92.90440180245662,14,6
2022-01-02 15:00:00,15.303796097879648,84.18556170511415,15,6
2022-01-02 16:00:00,15.13017821882007,88.45456777356601,16,6
2022-01-02 17:00:00,13.211297424648372,87.95789461174803,17,6
2022-01-02 18:00:00,12.379188830572089,102.64569426769374,18,6
2022-01-02 19:00:00,12.295388025205225,103.64534103257753,19,6
2022-01-02 20:00:00,10.754270124905485,121.77839786701492,20,6
2022-01-02 21:00:00,13.557488626019634,114.97462679775175,21,6
2022-01-02 22:00:00,15.747266323230686,94.03308449848416,22,6
2022-01-02 23:00:00,20.72674711538017,92.0873361343736,23,6
2022-01-03 00:00:00,21.384801316578173,86.87755183282331,0,0
2022-01-03 01:00:00,19.25654502558738,84.79505705125698,1,0
2022-01-03 02:00:00,25.3747476460157,89.52408674123865,2,0
2022-01-03 03:00:00,25.627774590613733,85.93405308519135,3,0
2022-01-03 04:00:00,26.329947758655674,84.74304143634323,4,0
2022-01-03 05:00:00,29.720849745653705,88.92856235699982,5,0
2022-01-03 06:00:00,30.846590002270354,84.43649145068915,6,0
2022-01-03 07:00:00,30.389056545719985,79.32580365050575,7,0
2022-01-03 08:00:00,26.06335493050882,70.82455776242327,8,0
2022-01-03 09:00:00,25.866511572912003,63.718703879966455,9,0
2022-01-03 10:00:00,25.505102514649153,59.55583711331558,10,0
2022-01-03 11:00:00,24.878710061243734,54.97777967821027,11,0
2022-01-03 12:00:00,19.913208951786018,53.08310755691481,12,0
2022-01-03 13:00:00,18.44417525093536,64.12171004084001,13,0
2022-01-03 14:00:00,14.687861880338321,70.30441116131759,14,0
2022-01-03 15:00:00,12.8657486889803,74.30003203901984,15,0
2022-01-03 16:00:00,15.626347023806817,78.02791005618084,16,0
2022-01-03 17:00:00,15.929052512523073,75.9208663186627,17,0
2022-01-03 18:00:00,12.81443728204157,91.96556100813552,18,0
2022-01-03 19:00:00,15.252593142662516,94.9677408530548,19,0
2022-01-03 20:00:00,14.78247715085664,92.04150651932484,20,0
2022-01-03 21:00:00,14.054786857418122,99.25558755666117,21,0
2022-01-03 22:00:00,17.739141992844846,82.43297071029907,22,0
2022-01-03 23:00:00,22.036339569660264,78.46335132833406,23,0
2022-01-04 00:00:00,20.973632554456625,85.20570813045688,0,1
2022-01-04 01:00:00,26.25958792905933,82.04560351578726,1,1
2022-01-04 02:00:00,19.834719430576573,83.79401165562425,2,1
2022-01-04 03:00:00,28.389328006762472,92.97156433234713,3,1
2022-01-04 04:00:00,28.20542292206696,88.96801048624252,4,1
2022-01-04 05:00:00,28.246971937941392,90.46448988505452,5,1
2022-01-04 06:00:00,29.315553690750072,86.65503253596744,6,1
2022-01-04 07:00:00,24.898750633209374,75.14585060501634,7,1
2022-01-04 08:00:00,27.649788595852787,67.02364073151821,8,1
2022-01-04 09:00:00,27.546453367094262,69.24224234781718,9,1
2022-01-04 10:00:00,28.145604411003315,68.50000705484413,10,1
2022-01-04 11:00:00,22.23826807579948,45.64705345608205,11,1
2022-01-04 12:00:00,19.601706228265105,60.15324385548076,12,1
2022-01-04 13:00:00,18.15906169056498,71.29163646348667,13,1
2022-01-04 14:00:00,19.078364469903864,58.621455048078545,14,1
2022-01-04 15:00:00,16.26263766118531,71.6849610618849,15,1
2022-01-04 16:00:00,13.288692840796369,82.93389393968314,16,1
2022-01-04 17:00:00,14.589968821638415,77.86070953707858,17,1
2022-01-04 18:00:00,13.499417020896596,80.12335566765897,18,1
2022-01-04 19:00:00,15.52956388828106,82.48094483208251,19,1
2022-01-04 20:00:00,13.001786903174901,91.63341818247902,20,1
2022-01-04 21:00:00,15.036330760049305,102.90371951633874,21,1
2022-01-04 22:00:00,16.578703125370627,91.19647231669575,22,1
2022-01-04 23:00:00,16.379744420330713,92.1585291865191,23,1
2022-01-05 00:00:00,21.9839715637298,84.47785168755637,0,2
2022-01-05 01:00:00,23.998795302900604,78.27724075214755,1,2
2022-01-05 02:00:00,25.430757724595434,82.19458617242181,2,2
2022-01-05 03:00:00,26.62260620265388,87.32902427983049,3,2
2022-01-05 04:00:00,25.54678033924715,85.99537071309874,4,2
2022-01-05 05:00:00,28.34982386512877,88.12238494445516,5,2
2022-01-05 06:00:00,28.792665078242567,84.44098575558215,6,2
2022-01-05 07:00:00,27.615329267356696,75.89215381243895,7,2
2022-01-05 08:00:00,28.112488929438324,75.46240922776114,8,2
2022-01-05 09:00:00,27.986189825020617,70.95748932000733,9,2
2022-01-05 10:00:00,29.307979185708923,66.81637191864208,10,2
2022-01-05 11:00:00,23.96968564273906,55.06884615242909,11,2
2022-01-05 12:00:00,22.079445431847844,44.791078726771076,12,2
2022-01-05 13:00:00,19.359264142984813,56.89534562085104,13,2
2022-01-05 14:00:00,13.755526250077134,72.89246147695468,14,2
2022-01-05 15:00:00,15.897543655647446,83.01921642829406,15,2
2022-01-05 16:00:00,14.814036420662228,76.83626249627387,16,2
2022-01-05 17:00:00,18.835206990021963,61.42769399171091,17,2
2022-01-05 18:00:00,13.265754129044533,89.42629578195657,18,2
2022-01-05 19:00:00,14.540507324789926,91.96246785229867,19,2
2022-01-05 20:00:00,14.681532150821775,100.8597525950646,20,2
2022-01-05 21:00:00,13.699284713758786,96.1509577169109,21,2
2022-01-05 22:00:00,19.993473203086104,74.49390975914953,22,2
2022-01-05 23:00:00,21.155470201439574,85.33345510667743,23,2
2022-01-06 00:00:00,23.31854567075536,75.90795408059923,0,3
2022-01-06 01:00:00,22.002580834332353,77.31327252153389,1,3
2022-01-06 02:00:00,28.57070990775958,94.16112131392376,2,3
2022-01-06 03:00:00,24.632587578646216,81.21666134451435,3,3
2022-01-06 04:00:00,29.895663277250616,97.9712986986453,4,3
2022-01-06 05:00:00,33.91637033145615,103.49684311565899,5,3
2022-01-06 06:00:00,27.841282604660098,78.72597719523687,6,3
2022-01-06 07:00:00,28.43146533641895,78.045667868909,7,3
2022-01-06 08:00:00,28.978455190897954,77.0747838545269,8,3
2022-01-06 09:00:00,26.51514330134734,65.95147266160626,9,3
2022-01-06 10:00:00,22.778200681868856,55.80660881321015,10,3
2022-01-06 11:00:00,24.101489062397597,59.37491390660553,11,3
2022-01-06 12:00:00,19.78348252631322,56.88750049674428,12,3
2022-01-06 13:00:00,20.798997619645352,55.325285655681114,13,3
2022-01-06 14:00:00,16.09778774958917,59.38653855521266,14,3
2022-01-06 15:00:00,19.393917780703987,60.535867669995284,15,3
2022-01-06 16:00:00,13.470456280380311,84.2319367857378,16,3
